CustomerID,CustomerName,Gender,Age,City,State,Region
C00001,Aarav Yadav,Female,33,Mumbai,Maharashtra,West
C00002,Aryan Yadav,Male,61,Hyderabad,Telangana,South
C00003,Aditya Nair,Female,20,Lucknow,Uttar Pradesh,North
C00004,Aditya Singh,Male,50,Delhi,Delhi,North
C00005,Aarav Mehta,Male,63,Guwahati,Assam,East
C00006,Neha Singh,Female,55,Lucknow,Uttar Pradesh,North
C00007,Aarav Patel,Female,39,Chennai,Tamil Nadu,South
C00008,Aryan Singh,Female,24,Chennai,Tamil Nadu,South
C00009,Sneha Verma,Female,40,Mumbai,Maharashtra,West
C00010,Rahul Sharma,Female,52,Guwahati,Assam,East
C00011,Sneha Verma,Female,58,Mumbai,Maharashtra,West
C00012,Priya Nair,Male,63,Guwahati,Assam,East
C00013,Vivaan Kumar,Male,36,Mumbai,Maharashtra,West
C00014,Rohan Verma,Female,35,Mumbai,Maharashtra,West
C00015,Priya Patel,Female,40,Jaipur,Rajasthan,North
C00016,Rahul Yadav,Male,56,Hyderabad,Telangana,South
C00017,Meera Yadav,Male,28,Bengaluru,Karnataka,South
C00018,Sneha Gupta,Male,61,Jaipur,Rajasthan,North
C00019,Vivaan Singh,Male,38,Kolkata,West Bengal,East
C00020,Rahul Verma,Male,54,Pune,Maharashtra,West
C00021,Ishaan Kumar,Female,43,Kolkata,West Bengal,East
C00022,Aryan Gupta,Male,33,Jaipur,Rajasthan,North
C00023,Meera Gupta,Female,55,Lucknow,Uttar Pradesh,North
C00024,Priya Singh,Male,50,Pune,Maharashtra,West
C00025,Aditya Sharma,Male,27,Jaipur,Rajasthan,North
C00026,Neha Nair,Male,42,Bengaluru,Karnataka,South
C00027,Saanvi Joshi,Female,53,Pune,Maharashtra,West
C00028,Arjun Kumar,Female,59,Delhi,Delhi,North
C00029,Arjun Gupta,Female,28,Kolkata,West Bengal,East
C00030,Aarav Yadav,Female,50,Jaipur,Rajasthan,North
C00031,Kabir Verma,Female,58,Bengaluru,Karnataka,South
C00032,Saanvi Singh,Male,41,Lucknow,Uttar Pradesh,North
C00033,Meera Mehta,Male,56,Bengaluru,Karnataka,South
C00034,Aditi Sharma,Male,41,Kolkata,West Bengal,East
C00035,Rohan Sharma,Male,54,Chennai,Tamil Nadu,South
C00036,Aditya Yadav,Female,22,Mumbai,Maharashtra,West
C00037,Aryan Patel,Female,53,Lucknow,Uttar Pradesh,North
C00038,Rahul Mehta,Female,31,Bengaluru,Karnataka,South
C00039,Ishaan Yadav,Female,43,Lucknow,Uttar Pradesh,North
C00040,Karan Mehta,Female,25,Kolkata,West Bengal,East
C00041,Rohan Verma,Female,19,Hyderabad,Telangana,South
C00042,Meera Singh,Male,18,Guwahati,Assam,East
C00043,Vivaan Singh,Male,20,Mumbai,Maharashtra,West
C00044,Aditya Mehta,Male,35,Kolkata,West Bengal,East
C00045,Ishaan Mehta,Male,64,Jaipur,Rajasthan,North
C00046,Riya Joshi,Male,48,Guwahati,Assam,East
C00047,Ishaan Verma,Male,60,Pune,Maharashtra,West
C00048,Priya Roy,Female,47,Pune,Maharashtra,West
C00049,Arjun Sharma,Female,64,Delhi,Delhi,North
C00050,Arjun Singh,Male,30,Kolkata,West Bengal,East
C00051,Karan Patel,Female,29,Lucknow,Uttar Pradesh,North
C00052,Karan Singh,Male,46,Chennai,Tamil Nadu,South
C00053,Arjun Sharma,Male,23,Lucknow,Uttar Pradesh,North
C00054,Vihaan Roy,Female,48,Hyderabad,Telangana,South
C00055,Sneha Sharma,Male,42,Hyderabad,Telangana,South
C00056,Sneha Gupta,Female,36,Delhi,Delhi,North
C00057,Meera Kumar,Female,27,Pune,Maharashtra,West
C00058,Ananya Singh,Male,55,Hyderabad,Telangana,South
C00059,Vivaan Yadav,Female,21,Lucknow,Uttar Pradesh,North
C00060,Riya Joshi,Male,21,Delhi,Delhi,North
C00061,Aditya Patel,Male,56,Lucknow,Uttar Pradesh,North
C00062,Rohan Roy,Male,54,Mumbai,Maharashtra,West
C00063,Riya Nair,Male,57,Hyderabad,Telangana,South
C00064,Neha Kumar,Female,34,Mumbai,Maharashtra,West
C00065,Diya Singh,Female,43,Hyderabad,Telangana,South
C00066,Ananya Joshi,Female,22,Bengaluru,Karnataka,South
C00067,Karan Nair,Male,22,Delhi,Delhi,North
C00068,Ishaan Mehta,Female,26,Lucknow,Uttar Pradesh,North
C00069,Aditya Singh,Female,36,Kolkata,West Bengal,East
C00070,Karan Mehta,Female,57,Bengaluru,Karnataka,South
C00071,Aarav Kumar,Female,60,Lucknow,Uttar Pradesh,North
C00072,Aryan Gupta,Male,24,Mumbai,Maharashtra,West
C00073,Aryan Gupta,Female,56,Lucknow,Uttar Pradesh,North
C00074,Diya Singh,Female,50,Hyderabad,Telangana,South
C00075,Rahul Sharma,Male,58,Jaipur,Rajasthan,North
C00076,Rahul Sharma,Male,39,Pune,Maharashtra,West
C00077,Rahul Patel,Female,53,Bengaluru,Karnataka,South
C00078,Meera Sharma,Male,22,Pune,Maharashtra,West
C00079,Meera Sharma,Female,55,Bengaluru,Karnataka,South
C00080,Aryan Roy,Male,20,Lucknow,Uttar Pradesh,North
C00081,Priya Sharma,Female,31,Chennai,Tamil Nadu,South
C00082,Arjun Das,Female,57,Hyderabad,Telangana,South
C00083,Rohan Patel,Male,44,Bengaluru,Karnataka,South
C00084,Vihaan Yadav,Female,44,Delhi,Delhi,North
C00085,Rahul Patel,Male,42,Hyderabad,Telangana,South
C00086,Aditi Singh,Male,47,Delhi,Delhi,North
C00087,Ananya Singh,Male,19,Kolkata,West Bengal,East
C00088,Sneha Das,Female,22,Hyderabad,Telangana,South
C00089,Priya Kumar,Female,61,Chennai,Tamil Nadu,South
C00090,Diya Sharma,Male,34,Lucknow,Uttar Pradesh,North
C00091,Riya Gupta,Male,24,Bengaluru,Karnataka,South
C00092,Neha Das,Female,45,Guwahati,Assam,East
C00093,Kabir Verma,Female,54,Guwahati,Assam,East
C00094,Rahul Sharma,Female,18,Hyderabad,Telangana,South
C00095,Meera Kumar,Male,41,Lucknow,Uttar Pradesh,North
C00096,Aditya Kumar,Female,57,Pune,Maharashtra,West
C00097,Arjun Yadav,Female,50,Kolkata,West Bengal,East
C00098,Neha Das,Female,62,Chennai,Tamil Nadu,South
C00099,Meera Patel,Male,44,Chennai,Tamil Nadu,South
C00100,Vihaan Nair,Female,43,Pune,Maharashtra,West
C00101,Aarav Gupta,Female,31,Lucknow,Uttar Pradesh,North
C00102,Riya Nair,Female,47,Pune,Maharashtra,West
C00103,Karan Kumar,Male,50,Jaipur,Rajasthan,North
C00104,Vihaan Kumar,Male,36,Jaipur,Rajasthan,North
C00105,Saanvi Das,Male,33,Lucknow,Uttar Pradesh,North
C00106,Rohan Singh,Male,19,Chennai,Tamil Nadu,South
C00107,Rohan Joshi,Male,47,Delhi,Delhi,North
C00108,Riya Singh,Female,49,Pune,Maharashtra,West
C00109,Rohan Patel,Male,24,Pune,Maharashtra,West
C00110,Rohan Patel,Female,21,Pune,Maharashtra,West
C00111,Rohan Verma,Female,26,Lucknow,Uttar Pradesh,North
C00112,Kabir Mehta,Female,46,Jaipur,Rajasthan,North
C00113,Kabir Roy,Female,28,Guwahati,Assam,East
C00114,Karan Gupta,Male,58,Jaipur,Rajasthan,North
C00115,Kabir Joshi,Male,35,Chennai,Tamil Nadu,South
C00116,Aditya Yadav,Female,33,Jaipur,Rajasthan,North
C00117,Diya Das,Male,26,Chennai,Tamil Nadu,South
C00118,Rohan Roy,Male,63,Bengaluru,Karnataka,South
C00119,Aditya Roy,Female,39,Hyderabad,Telangana,South
C00120,Karan Roy,Male,31,Lucknow,Uttar Pradesh,North
C00121,Sneha Nair,Male,54,Pune,Maharashtra,West
C00122,Aditi Sharma,Female,37,Pune,Maharashtra,West
C00123,Neha Mehta,Male,49,Pune,Maharashtra,West
C00124,Rahul Roy,Female,19,Hyderabad,Telangana,South
C00125,Diya Kumar,Female,64,Pune,Maharashtra,West
C00126,Karan Patel,Male,43,Bengaluru,Karnataka,South
C00127,Riya Kumar,Male,23,Guwahati,Assam,East
C00128,Aryan Joshi,Male,21,Pune,Maharashtra,West
C00129,Sneha Das,Male,47,Chennai,Tamil Nadu,South
C00130,Diya Roy,Female,44,Kolkata,West Bengal,East
C00131,Aditya Joshi,Male,65,Chennai,Tamil Nadu,South
C00132,Vivaan Das,Male,59,Lucknow,Uttar Pradesh,North
C00133,Vivaan Sharma,Male,30,Mumbai,Maharashtra,West
C00134,Saanvi Patel,Male,26,Delhi,Delhi,North
C00135,Arjun Nair,Male,47,Jaipur,Rajasthan,North
C00136,Priya Patel,Male,28,Chennai,Tamil Nadu,South
C00137,Arjun Nair,Male,37,Chennai,Tamil Nadu,South
C00138,Sneha Roy,Male,22,Guwahati,Assam,East
C00139,Rohan Verma,Female,61,Guwahati,Assam,East
C00140,Arjun Nair,Male,40,Guwahati,Assam,East
C00141,Neha Kumar,Female,22,Lucknow,Uttar Pradesh,North
C00142,Diya Sharma,Female,49,Lucknow,Uttar Pradesh,North
C00143,Neha Das,Female,63,Mumbai,Maharashtra,West
C00144,Neha Patel,Female,57,Bengaluru,Karnataka,South
C00145,Aditi Joshi,Female,64,Lucknow,Uttar Pradesh,North
C00146,Rahul Das,Male,23,Guwahati,Assam,East
C00147,Karan Singh,Female,54,Chennai,Tamil Nadu,South
C00148,Sneha Das,Male,49,Guwahati,Assam,East
C00149,Vihaan Joshi,Male,40,Kolkata,West Bengal,East
C00150,Diya Gupta,Female,53,Chennai,Tamil Nadu,South
C00151,Kabir Singh,Male,33,Delhi,Delhi,North
C00152,Aditi Mehta,Male,62,Pune,Maharashtra,West
C00153,Aditi Joshi,Male,23,Jaipur,Rajasthan,North
C00154,Rohan Roy,Male,37,Chennai,Tamil Nadu,South
C00155,Priya Joshi,Female,45,Guwahati,Assam,East
C00156,Diya Das,Female,35,Lucknow,Uttar Pradesh,North
C00157,Rahul Singh,Male,64,Chennai,Tamil Nadu,South
C00158,Diya Verma,Male,30,Hyderabad,Telangana,South
C00159,Aditi Gupta,Female,24,Hyderabad,Telangana,South
C00160,Ananya Singh,Female,29,Hyderabad,Telangana,South
C00161,Aarav Yadav,Male,35,Chennai,Tamil Nadu,South
